id,tts_model_id,name,tts_voice,languages,voice_demo,remark,reference_audio,reference_text,sort,creator,create_date,updater,update_date
TTS_ACGNTTS0001,TTS_ACGNTTS,ACG音色,1695,中文,,,,,12,,,,
TTS_OpenAIRealtimeTTS_0001,TTS_OpenAIRealtime,温柔姐姐,alloy,中文及中英文混合,,,,,1,,,,
TTS_AliyunStreamTTS_0001,TTS_AliyunStreamTTS,龙小淳-温柔姐姐,longxiaochun,中文及中英文混合,,,,,1,,,,
TTS_AliyunStreamTTS_0002,TTS_AliyunStreamTTS,龙小夏-温柔女声,longxiaoxia,中文及中英文混合,,,,,2,,,,
TTS_AliyunStreamTTS_0003,TTS_AliyunStreamTTS,龙玫-温柔女声,longmei,中文及中英文混合,,,,,3,,,,
TTS_AliyunStreamTTS_0004,TTS_AliyunStreamTTS,龙瑰-温柔女声,longgui,中文及中英文混合,,,,,4,,,,
TTS_AliyunStreamTTS_0005,TTS_AliyunStreamTTS,龙玉-御姐女声,longyu,中文及中英文混合,,,,,5,,,,
TTS_AliyunStreamTTS_0006,TTS_AliyunStreamTTS,龙娇-御姐女声,longjiao,中文及中英文混合,,,,,6,,,,
TTS_AliyunStreamTTS_0007,TTS_AliyunStreamTTS,龙臣-译制片男声,longchen,中文及中英文混合,,,,,7,,,,
TTS_AliyunStreamTTS_0008,TTS_AliyunStreamTTS,龙修-青年男声,longxiu,中文及中英文混合,,,,,8,,,,
TTS_AliyunStreamTTS_0009,TTS_AliyunStreamTTS,龙橙-阳光男声,longcheng,中文及中英文混合,,,,,9,,,,
TTS_AliyunStreamTTS_0010,TTS_AliyunStreamTTS,龙哲-成熟男声,longzhe,中文及中英文混合,,,,,10,,,,
TTS_AliyunStreamTTS_0011,TTS_AliyunStreamTTS,Bella2.0-新闻女声,loongbella,中文及中英文混合,,,,,11,,,,
TTS_AliyunStreamTTS_0012,TTS_AliyunStreamTTS,Stella2.0-飒爽女声,loongstella,中文及中英文混合,,,,,12,,,,
TTS_AliyunStreamTTS_0013,TTS_AliyunStreamTTS,龙书-新闻男声,longshu,中文及中英文混合,,,,,13,,,,
TTS_AliyunStreamTTS_0014,TTS_AliyunStreamTTS,龙婧-严肃女声,longjing,中文及中英文混合,,,,,14,,,,
TTS_AliyunStreamTTS_0015,TTS_AliyunStreamTTS,龙奇-活泼童声,longqi,中文及中英文混合,,,,,15,,,,
TTS_AliyunStreamTTS_0016,TTS_AliyunStreamTTS,龙华-活泼女童,longhua,中文及中英文混合,,,,,16,,,,
TTS_AliyunStreamTTS_0017,TTS_AliyunStreamTTS,龙无-无厘头男声,longwu,中文及中英文混合,,,,,17,,,,
TTS_AliyunStreamTTS_0018,TTS_AliyunStreamTTS,龙大锤-幽默男声,longdachui,中文及中英文混合,,,,,18,,,,
TTS_AliyunStreamTTS_0019,TTS_AliyunStreamTTS,龙嘉怡-粤语女声,longjiayi,粤语及粤英混合,,,,,19,,,,
TTS_AliyunStreamTTS_0020,TTS_AliyunStreamTTS,龙桃-粤语女声,longtao,粤语及粤英混合,,,,,20,,,,
TTS_AliyunTTS0001,TTS_AliyunTTS,阿里云小云,xiaoyun,中文,,,,,9,,,,
TTS_CosyVoiceSiliconflow0001,TTS_CosyVoiceSiliconflow,CosyVoice男声,FunAudioLLM/CosyVoice2-0.5B:alex,中文,,,,,6,,,,
TTS_CosyVoiceSiliconflow0002,TTS_CosyVoiceSiliconflow,CosyVoice女声,FunAudioLLM/CosyVoice2-0.5B:bella,中文,,,,,6,,,,
TTS_CozeCnTTS0001,TTS_CozeCnTTS,CozeCn音色,7426720361733046281,中文,,,,,7,,,,
TTS_CustomTTS0000,TTS_CustomTTS,,,中文,,,,,8,,,,
TTS_DoubaoTTS0001,TTS_DoubaoTTS,通用女声,BV001_streaming,普通话,https://lf3-speech.bytetos.com/obj/speech-tts-external/portal/Portal_Demo_BV001.mp3,,,,3,,,,
TTS_DoubaoTTS0002,TTS_DoubaoTTS,通用男声,BV002_streaming,普通话,https://lf3-speech.bytetos.com/obj/speech-tts-external/portal/Portal_Demo_BV002.mp3,,,,2,,,,
TTS_DoubaoTTS0003,TTS_DoubaoTTS,阳光男生,BV056_streaming,普通话,https://lf3-speech.bytetos.com/obj/speech-tts-external/portal/Portal_Demo_BV056.mp3,,,,4,,,,
TTS_DoubaoTTS0004,TTS_DoubaoTTS,奶气萌娃,BV051_streaming,普通话,https://lf3-speech.bytetos.com/obj/speech-tts-external/portal/Portal_Demo_BV051.mp3,,,,5,,,,
TTS_DoubaoTTS0005,TTS_DoubaoTTS,湾湾小何,zh_female_wanwanxiaohe_moon_bigtts,普通话,https://lf3-static.bytednsdoc.com/obj/eden-cn/lm_hz_ihsph/ljhwZthlaukjlkulzlp/portal/bigtts/%E6%B9%BE%E6%B9%BE%E5%B0%8F%E4%BD%95.mp3,,,,6,,,,
TTS_EdgeTTS0001,TTS_EdgeTTS,EdgeTTS女声-晓晓,zh-CN-XiaoxiaoNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0002,TTS_EdgeTTS,EdgeTTS男声-云扬,zh-CN-YunyangNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0003,TTS_EdgeTTS,EdgeTTS女声-晓伊,zh-CN-XiaoyiNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0004,TTS_EdgeTTS,EdgeTTS男声-云健,zh-CN-YunjianNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0005,TTS_EdgeTTS,EdgeTTS男声-云希,zh-CN-YunxiNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0006,TTS_EdgeTTS,EdgeTTS男声-云夏,zh-CN-YunxiaNeural,普通话,,,,,1,,,,
TTS_EdgeTTS0007,TTS_EdgeTTS,EdgeTTS女声-辽宁小贝,zh-CN-liaoning-XiaobeiNeural,辽宁,,,,,1,,,,
TTS_EdgeTTS0008,TTS_EdgeTTS,EdgeTTS女声-陕西小妮,zh-CN-shaanxi-XiaoniNeural,陕西,,,,,1,,,,
TTS_EdgeTTS0009,TTS_EdgeTTS,EdgeTTS女声-香港海佳,zh-HK-HiuGaaiNeural,粤语,General,"Friendly, Positive",,,1,,,,
TTS_EdgeTTS0010,TTS_EdgeTTS,EdgeTTS女声-香港海曼,zh-HK-HiuMaanNeural,粤语,General,"Friendly, Positive",,,1,,,,
TTS_EdgeTTS0011,TTS_EdgeTTS,EdgeTTS男声-香港万龙,zh-HK-WanLungNeural,粤语,General,"Friendly, Positive",,,1,,,,
TTS_FishSpeech0000,TTS_FishSpeech,,,中文,,,,,8,,,,
TTS_GizwitsTTS0001,TTS_GizwitsTTS,机智云湾湾,zh_female_wanwanxiaohe_moon_bigtts,中文,https://lf3-static.bytednsdoc.com/obj/eden-cn/lm_hz_ihsph/ljhwZthlaukjlkulzlp/portal/bigtts/%E6%B9%BE%E6%B9%BE%E5%B0%8F%E4%BD%95.mp3,,,,11,,,,
TTS_GPT_SOVITS_V20000,TTS_GPT_SOVITS_V2,,,中文,,,,,8,,,,
TTS_GPT_SOVITS_V30000,TTS_GPT_SOVITS_V3,,,中文,,,,,8,,,,
TTS_HuoshanDoubleStreamTTS_0001,TTS_HuoshanDoubleStreamTTS,爽快思思/Skye,zh_female_shuangkuaisisi_moon_bigtts,中文、英文,https://lf3-static.bytednsdoc.com/obj/eden-cn/lm_hz_ihsph/ljhwZthlaukjlkulzlp/portal/bigtts/Skye.mp3,,,,1,,,,
TTS_HuoshanDoubleStreamTTS_0002,TTS_HuoshanDoubleStreamTTS,温暖阿虎/Alvin,zh_male_wennuanahu_moon_bigtts,中文、英文,https://lf3-static.bytednsdoc.com/obj/eden-cn/lm_hz_ihsph/ljhwZthlaukjlkulzlp/portal/bigtts/Alvin.mp3,,,,2,,,,
