id,dict_type_id,dict_label,dict_value,remark,sort,creator,create_date,updater,update_date
101001,101,面包板新版接线（WiFi）,bread-compact-wifi,面包板新版接线（WiFi）,1,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101002,101,面包板新版接线（WiFi）+ LCD,bread-compact-wifi-lcd,面包板新版接线（WiFi）+ LCD,2,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101003,101,面包板新版接线（ML307 AT）,bread-compact-ml307,面包板新版接线（ML307 AT）,3,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101004,101,面包板（WiFi） ESP32 DevKit,bread-compact-esp32,面包板（WiFi） ESP32 DevKit,4,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101005,101,面包板（WiFi+ LCD） ESP32 DevKit,bread-compact-esp32-lcd,面包板（WiFi+ LCD） ESP32 DevKit,5,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101006,101,DFRobot 行空板 k10,df-k10,DFRobot 行空板 k10,6,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101007,101,ESP32 CGC,esp32-cgc,ESP32 CGC,7,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101008,101,ESP BOX 3,esp-box-3,ESP BOX 3,8,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101009,101,ESP BOX,esp-box,ESP BOX,9,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101010,101,ESP BOX Lite,esp-box-lite,ESP BOX Lite,10,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101011,101,Kevin Box 1,kevin-box-1,Kevin Box 1,11,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101012,101,Kevin Box 2,kevin-box-2,Kevin Box 2,12,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101013,101,Kevin C3,kevin-c3,Kevin C3,13,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101014,101,Kevin SP V3开发板,kevin-sp-v3-dev,Kevin SP V3开发板,14,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101015,101,Kevin SP V4开发板,kevin-sp-v4-dev,Kevin SP V4开发板,15,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101016,101,鱼鹰科技3.13LCD开发板,kevin-yuying-313lcd,鱼鹰科技3.13LCD开发板,16,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101017,101,立创·实战派ESP32-S3开发板,lichuang-dev,立创·实战派ESP32-S3开发板,17,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101018,101,立创·实战派ESP32-C3开发板,lichuang-c3-dev,立创·实战派ESP32-C3开发板,18,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101019,101,神奇按钮 Magiclick_2.4,magiclick-2p4,神奇按钮 Magiclick_2.4,19,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101020,101,神奇按钮 Magiclick_2.5,magiclick-2p5,神奇按钮 Magiclick_2.5,20,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101021,101,神奇按钮 Magiclick_C3,magiclick-c3,神奇按钮 Magiclick_C3,21,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101022,101,神奇按钮 Magiclick_C3_v2,magiclick-c3-v2,神奇按钮 Magiclick_C3_v2,22,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101023,101,M5Stack CoreS3,m5stack-core-s3,M5Stack CoreS3,23,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101024,101,AtomS3 + Echo Base,atoms3-echo-base,AtomS3 + Echo Base,24,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101025,101,AtomS3R + Echo Base,atoms3r-echo-base,AtomS3R + Echo Base,25,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101026,101,AtomS3R CAM/M12 + Echo Base,atoms3r-cam-m12-echo-base,AtomS3R CAM/M12 + Echo Base,26,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101027,101,AtomMatrix + Echo Base,atommatrix-echo-base,AtomMatrix + Echo Base,27,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101028,101,虾哥 Mini C3,xmini-c3,虾哥 Mini C3,28,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101029,101,ESP32S3_KORVO2_V3开发板,esp32s3-korvo2-v3,ESP32S3_KORVO2_V3开发板,29,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101030,101,ESP-SparkBot开发板,esp-sparkbot,ESP-SparkBot开发板,30,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101031,101,ESP-Spot-S3,esp-spot-s3,ESP-Spot-S3,31,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101032,101,Waveshare ESP32-S3-Touch-AMOLED-1.8,esp32-s3-touch-amoled-1.8,Waveshare ESP32-S3-Touch-AMOLED-1.8,32,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101033,101,Waveshare ESP32-S3-Touch-LCD-1.85C,esp32-s3-touch-lcd-1.85c,Waveshare ESP32-S3-Touch-LCD-1.85C,33,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101034,101,Waveshare ESP32-S3-Touch-LCD-1.85,esp32-s3-touch-lcd-1.85,Waveshare ESP32-S3-Touch-LCD-1.85,34,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
101035,101,Waveshare ESP32-S3-Touch-LCD-1.46,esp32-s3-touch-lcd-1.46,Waveshare ESP32-S3-Touch-LCD-1.46,35,1,2025-09-25 18:53:42,1,2025-09-25 18:53:42
